525,546,53,112
498,537,50,119
471,526,50,117
447,519,51,103
424,512,46,99
399,501,46,99
378,503,50,116
356,497,54,116
336,489,57,111
324,480,56,95
315,471,57,103
316,470,57,103
311,450,58,112
310,437,55,109
311,426,46,100
310,416,45,96
310,407,44,101
309,407,44,101
306,392,46,106
302,385,41,103
296,381,36,94
298,375,43,83
311,367,47,82
314,369,47,82
348,348,54,87
367,341,52,85
386,332,51,85
405,325,50,87
424,319,47,85
430,321,47,85
458,309,38,94
473,306,37,97
487,304,34,97
500,303,34,97
511,302,36,95
505,303,36,95
535,305,44,87
548,308,47,87
567,312,41,88
585,317,39,86
601,323,36,85
601,326,36,85
630,338,38,86
642,346,40,87
653,356,39,85
660,366,41,84
663,377,44,87
664,378,44,87
668,402,45,82
669,415,44,84
670,428,42,90
668,442,44,95
668,456,43,94
669,454,43,94
663,486,42,88
657,501,47,85
658,515,45,84
659,530,44,85
659,545,42,96
663,547,42,96
657,575,42,94
652,589,45,92
647,605,49,85
644,621,48,75
639,637,47,76
642,635,47,76
624,673,59,46
614,688,42,31
590,698,42,22
565,708,42,12
538,721,42,-1
537,720,42,0
511,734,42,-14
484,735,42,-15
455,738,42,-18
430,740,42,-20
404,743,42,-23
403,742,42,-22
379,743,42,-23
355,735,42,-15
329,728,42,-8
306,720,42,0
282,712,42,8
281,711,42,9
259,700,42,20
237,683,42,31
215,667,42,31
196,650,42,31
178,632,42,31
177,631,42,31
163,610,42,31
150,586,42,31
139,563,42,31
131,539,42,31
125,514,42,31
124,513,42,31
122,487,42,31
122,459,42,31
124,432,42,31
129,405,42,31
136,378,42,31
135,377,42,31
146,350,42,31
159,323,42,31
739,416,41,113
739,399,43,114
737,386,39,101
725,390,39,101
719,352,44,112
709,339,45,112
705,330,43,104
703,320,37,97
698,306,33,107
728,303,33,107
687,290,29,94
676,282,35,96
671,271,33,105
666,264,36,108
661,263,32,99
656,260,32,99
652,251,25,97
644,249,29,97
639,251,30,86
630,252,33,91
623,246,33,102
612,242,33,102
607,245,37,102
601,246,36,91
592,243,36,100
585,242,33,104
575,245,34,104
563,241,34,104
558,251,35,98
548,252,38,103
542,258,39,104
527,266,41,94
522,271,32,88
508,265,32,88
501,288,40,84
488,296,41,83
479,302,32,93
470,312,33,100
454,324,42,105
439,321,42,105
426,343,49,95
408,355,63,85
402,371,69,88
399,384,52,94
405,396,65,98
407,393,65,98
441,411,48,93
466,416,43,83
485,424,43,85
501,431,47,89
512,436,49,95
516,438,49,95
531,449,54,103
541,455,52,95
550,462,50,86
562,470,44,90
570,480,43,91
575,482,43,91
582,499,58,85
597,504,46,94
606,509,43,100
615,513,42,109
624,515,44,116
633,516,44,116
646,522,41,100
656,528,40,94
666,535,40,100
672,543,43,105
679,551,41,98
693,553,41,98
692,567,43,74
696,574,41,78
706,581,38,82
711,586,38,89
716,592,40,94
730,596,40,94
730,602,42,102
735,609,44,99
743,616,46,97
755,625,40,93
764,634,37,83
776,635,37,83
782,654,32,65
786,664,34,55
783,676,42,44
787,687,44,32
798,695,35,25
808,697,35,23
784,695,35,25
769,693,35,25
753,692,35,25
737,690,35,25
720,687,35,25
719,686,35,25
704,684,35,25
688,680,35,25
673,676,35,25
660,672,35,25
647,667,35,25
646,666,35,25
636,662,35,25
626,657,35,25
617,651,35,25
610,645,35,25
604,639,35,25
603,638,35,25
598,633,35,25
593,627,35,25
588,620,35,25
584,613,35,25
582,606,35,25
581,605,35,25
580,599,35,25
687,634,28,84
678,641,57,77
668,644,51,74
654,645,52,73
652,645,52,73
627,646,55,73
618,642,52,75
609,636,48,82
598,629,48,76
585,624,56,88
580,625,56,88
565,614,52,98
558,610,48,93
549,607,44,85
541,601,42,82
530,593,39,80
524,589,39,80
510,576,37,82
499,568,39,82
488,562,40,82
478,556,40,82
469,551,39,82
466,550,39,82
454,544,41,80
446,539,41,82
439,536,40,82
431,533,41,80
425,530,40,81
424,529,40,81
413,523,41,83
410,519,39,82
414,513,40,82
421,506,41,84
431,500,39,83
430,497,39,83
449,490,38,83
459,486,37,82
469,482,36,83
479,479,35,82
487,477,37,81
485,474,37,81
510,472,34,82
520,471,35,82
531,470,33,81
542,468,34,83
554,468,35,82
551,465,35,82
576,467,36,84
587,466,37,85
598,467,37,85
609,468,37,86
621,470,35,88
618,468,35,88
641,475,38,93
650,478,39,90
