781,120,35,98
770,121,35,97
751,123,43,98
736,125,51,100
729,127,54,101
720,129,54,101
719,126,40,94
711,126,40,98
698,127,47,101
692,128,49,104
688,128,46,106
687,128,46,106
684,124,36,103
679,123,33,100
672,123,35,100
660,124,41,103
656,126,44,104
654,125,44,104
653,124,38,100
648,123,38,95
640,123,45,100
636,124,49,101
634,125,50,104
638,124,50,104
641,122,39,109
641,120,36,103
641,121,35,98
640,122,32,100
628,125,43,102
625,126,43,102
624,128,48,104
627,128,44,102
627,128,38,95
626,129,38,97
623,130,42,102
623,130,42,102
630,132,44,108
636,130,42,110
641,128,35,105
644,128,33,99
644,128,34,102
645,128,34,102
638,133,43,107
640,135,45,105
647,135,38,102
645,136,40,98
642,136,43,105
641,137,43,105
638,140,46,108
638,139,43,111
641,137,40,111
644,135,36,103
647,135,33,101
647,135,33,101
644,136,37,109
645,137,37,109
643,136,38,108
640,135,38,100
636,136,44,101
637,137,44,101
635,139,47,107
639,140,46,109
644,139,42,110
649,138,39,104
655,138,35,102
656,138,35,102
656,143,41,106
660,144,41,107
665,143,39,106
667,143,37,98
665,143,40,99
665,143,40,99
660,145,47,106
659,146,45,108
660,144,43,111
661,143,37,103
661,143,34,98
661,142,34,98
654,144,38,107
655,146,36,109
658,145,35,107
660,145,37,102
663,145,41,101
665,145,41,101
666,148,46,108
668,150,46,109
670,148,42,110
671,146,40,108
671,147,39,100
671,146,39,100
668,149,37,107
665,150,36,109
662,151,35,106
658,149,39,105
656,149,43,99
656,149,43,99
657,151,44,106
656,152,47,109
658,152,47,110
661,151,49,108
665,151,49,102
666,151,49,102
684,155,42,103
691,159,39,106
695,160,35,112
695,160,37,112
694,160,39,105
694,160,39,105
687,163,44,103
685,165,45,106
683,167,46,108
682,166,46,107
683,164,44,108
682,165,44,108
686,162,41,99
687,163,40,101
689,163,38,107
688,164,39,109
689,162,37,110
688,161,37,110
685,160,42,97
683,160,44,101
683,161,44,103
685,161,44,107
687,160,45,107
687,159,45,107
696,156,43,97
702,156,41,100
707,158,37,103
706,159,38,106
705,158,40,107
705,157,40,107
694,154,40,95
686,154,43,98
679,154,45,102
673,155,46,106
669,154,45,104
667,153,45,104
661,150,41,97
658,149,36,98
651,151,35,101
643,152,37,104
638,152,34,103
635,152,34,103
620,151,38,95
611,152,41,97
602,153,44,100
595,154,45,103
591,153,42,104
589,153,42,104
582,151,34,95
576,151,32,95
567,152,34,97
553,154,44,101
550,155,44,101
551,154,44,101
539,153,39,96
533,153,40,96
528,154,43,99
528,154,45,102
533,152,45,104
533,150,45,104
548,145,37,96
558,143,34,96
566,143,34,97
567,143,45,102
572,142,48,105
572,142,48,105
591,137,38,94
595,135,41,97
599,134,44,99
606,135,44,101
611,133,44,103
610,132,44,103
626,128,38,96
634,126,34,94
639,125,33,99
636,125,38,100
639,124,36,103
640,123,36,103
636,118,36,95
631,116,40,97
627,116,43,99
624,116,43,102
624,114,43,104
625,112,43,104
631,108,37,96
634,106,36,95
637,105,36,100
640,106,37,103
638,105,42,105
637,105,42,105
650,100,38,96
651,99,40,97
653,99,39,99
653,100,39,102
652,99,39,103
652,98,39,103
650,94,38,99
648,94,39,93
648,93,38,100
645,94,39,102
643,94,38,103
642,94,38,103
639,90,37,98
637,89,37,99
635,90,39,101
634,93,39,102
634,93,39,104
633,93,39,104
636,90,38,96
636,89,37,98
636,90,37,102
636,91,37,106
634,91,38,106
633,90,38,106
632,89,39,98
631,90,40,99
631,92,41,100
634,95,38,103
640,96,36,104
641,97,36,104
647,97,39,98
652,98,38,95
657,100,39,98
658,103,44,103
660,105,45,104
658,105,45,104
673,105,41,103
686,106,34,100
690,110,37,96
692,113,51,97
695,118,57,96
695,119,57,96
714,121,56,94
733,122,48,96
748,125,42,98
751,127,50,102
753,130,58,102
753,128,58,102
776,130,48,103
786,130,38,99
778,130,39,101
759,131,48,103
738,132,53,103
735,131,53,103
696,128,50,100
677,126,41,98
647,125,42,103
619,126,45,108
592,127,46,111
590,126,46,111
559,124,40,109
555,124,37,104
558,126,37,103
564,127,44,106
571,128,52,113
570,128,52,113
586,128,44,108
599,127,41,102
608,123,46,106
618,123,46,110
627,122,47,113
627,120,47,113
640,117,44,115
639,112,41,108
635,109,39,107
629,109,39,110
624,107,38,114
625,107,38,114
606,102,39,110
593,98,42,103
583,95,45,107
577,95,46,112
575,94,46,114
576,93,46,114
577,86,46,116
579,81,43,106
579,79,41,108
579,77,40,113
578,75,40,114
577,74,40,114
583,66,41,106
586,62,43,106
590,59,45,110
595,58,44,112
599,55,43,113
599,54,43,113
606,43,42,108
608,38,41,107
610,35,41,111
613,32,41,112
616,28,40,112
618,28,40,112
622,16,41,108
623,13,42,110
623,12,42,111
622,9,42,112
620,6,43,111
619,6,43,111
615,0,41,105
611,0,42,105
608,0,43,107
607,0,43,107
608,0,42,105
606,0,42,105
614,0,40,96
619,0,37,100
624,0,37,103
628,0,38,108
632,0,40,106
629,0,40,106
638,0,42,96
641,0,44,103
643,0,45,104
648,0,44,109
653,0,44,109
653,0,44,109
666,0,39,97
671,0,39,101
674,0,39,110
677,0,39,114
681,0,38,111
681,0,38,111
686,0,41,103
687,0,45,109
690,0,46,112
693,0,47,114
699,0,46,114
701,0,46,114
714,0,42,108
720,0,41,112
727,2,38,118
731,3,38,120
732,3,41,113
732,1,41,113
730,4,45,115
728,8,46,117
725,10,47,118
723,9,46,120
721,8,45,115
720,7,45,115
719,7,40,115
714,10,40,121
714,12,37,121
711,12,40,118
705,11,43,112
703,10,43,112
697,16,51,119
692,18,52,121
689,19,49,122
687,17,42,114
685,17,36,116
684,17,36,116
654,25,46,123
647,27,43,122
638,28,39,115
624,28,43,116
612,31,52,121
610,31,52,121
605,40,56,126
610,40,50,129
618,40,43,122
626,43,38,120
622,48,45,124
617,48,45,124
630,56,46,128
637,57,40,120
636,58,44,121
632,63,56,127
632,69,60,129
631,69,60,129
641,72,55,136
653,73,44,123
658,76,42,124
649,82,54,131
652,88,56,131
652,88,56,131
666,95,44,118
660,95,53,128
656,101,62,132
655,107,61,133
652,111,60,134
651,111,60,134
654,111,42,129
645,114,44,126
625,118,55,132
613,124,59,132
612,127,56,131
615,127,56,131
603,126,44,124
592,128,55,129
586,131,60,131
586,131,64,133
592,128,54,135
591,127,54,135
594,125,39,123
580,127,58,126
575,128,69,129
578,128,66,128
583,126,51,122
581,125,51,122
567,126,52,129
559,127,62,131
554,127,70,132
557,126,58,131
565,123,38,127
565,122,38,127
548,124,58,128
545,128,68,128
554,130,63,127
561,130,51,119
557,128,43,124
552,129,43,124
545,136,61,127
543,139,68,129
548,140,60,132
554,143,50,124
555,144,49,126
555,143,49,126
538,154,69,128
536,161,76,130
544,166,75,127
553,169,63,128
557,173,49,122
554,170,49,122
543,182,51,128
527,190,74,127
524,193,80,128
527,194,72,131
530,196,55,125
529,193,55,125
525,202,44,124
503,207,73,123
497,213,88,123
503,216,84,121
509,217,68,118
508,216,68,118
497,220,51,122
480,224,75,120
467,226,94,118
471,224,89,122
472,221,71,123
470,219,71,123
460,215,54,124
436,217,85,120
432,218,95,117
436,216,84,118
435,211,69,119
433,211,69,119
440,203,67,120
437,201,89,118
450,194,86,122
457,186,69,119
455,178,51,125
451,179,51,125
421,176,88,119
417,176,94,118
